action.n.01
animal.n.01
body_part.n.01
clothing.n.01
color.n.01
event.n.01
expression.n.01
feeling.n.01
food.n.01
fruit.n.01
furniture.n.01
game.n.01
toy.n.01
physical_condition.n.01
pathological_state.n.01
material.n.01
plane_figure.n.01
nature.n.03
number.n.02
object.n.01
professional.n.01
parent.n.01
person.n.01
name.n.01
city.n.01
state.n.01
country.n.02
location.n.01
quantity.n.01
time_period.n.01
time_unit.n.01
sequence.n.04
vehicle.n.01
